City,Country,Weekend/Weekday,Price,Room_Type,Room_Shared,Room_Private,Person_Capacity,Superhost?,Multiple_Rooms?,Business?,cleanliness_rating,guest_satisfaction_overall,bedrooms,Distance from City Center,Nearest Metro (km),attr_index,attr_index_norm,rest_index,rest_index_norm,longitude,latitude
Barcelona,Spain,Weekend,532.0362138,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,91,1,1.111998031,0.630503955,526.4714724,20.32767195,915.5914548,20.11246809,2.17556,41.39624
Barcelona,Spain,Weekend,169.8978286,Private room,FALSE,TRUE,2,TRUE,1,0,10,88,1,1.751830926,0.124012733,320.1282638,12.36052221,794.2796598,17.44765553,2.14906,41.38714
Barcelona,Spain,Weekend,196.8952917,Private room,FALSE,TRUE,2,FALSE,1,0,9,90,1,0.621730811,0.297515605,503.3540251,19.43508059,1242.434221,27.29210556,2.165,41.383
Barcelona,Spain,Weekend,141.2712081,Private room,FALSE,TRUE,3,FALSE,0,1,9,86,1,1.648310926,0.089441887,342.5958201,13.22802053,820.9219575,18.0328973,2.15342,41.37912
Barcelona,Spain,Weekend,715.2000372,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,9,95,2,0.693560319,0.35765301,537.8031345,20.76520052,1081.560116,23.75824197,2.17498,41.39214
Barcelona,Spain,Weekend,173.3888798,Private room,FALSE,TRUE,2,FALSE,0,0,9,96,1,1.474218946,0.590510764,448.4061966,17.31348144,752.7610767,16.53563175,2.18195,41.39691
Barcelona,Spain,Weekend,258.1050574,Private room,FALSE,TRUE,4,FALSE,1,0,9,84,1,0.962665505,0.356151223,791.8610182,30.574669,1885.502085,41.41814595,2.17742,41.3805
Barcelona,Spain,Weekend,740.5683431,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,87,2,1.160695112,0.417287815,622.4211768,24.03240092,1692.221677,37.17242477,2.18057,41.38035
Barcelona,Spain,Weekend,190.8441362,Private room,FALSE,TRUE,2,TRUE,1,0,10,98,1,2.21406966,0.376034034,589.7216247,22.76983342,647.2542294,14.2180008,2.17853,41.40602
Barcelona,Spain,Weekend,387.5066912,Private room,FALSE,TRUE,2,FALSE,1,0,9,91,1,1.549335469,0.576088714,394.1575804,15.21887968,780.623571,17.14767714,2.18778,41.3911
Barcelona,Spain,Weekend,117.997533,Private room,FALSE,TRUE,2,FALSE,1,0,8,84,1,2.577474937,0.050512355,289.9208676,11.19417974,590.0596005,12.96162696,2.14385,41.37486
Barcelona,Spain,Weekend,155.0026765,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,1.83993617,0.511810265,352.2179738,13.599543,737.0145114,16.18973262,2.165,41.371
Barcelona,Spain,Weekend,150.5806782,Private room,FALSE,TRUE,2,FALSE,1,0,8,87,1,0.250333231,0.252829686,574.4148483,22.1788211,1438.187956,31.59215742,2.16704,41.38741
Barcelona,Spain,Weekend,298.6012521,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,68,1,1.662859095,0.44524877,428.7278563,16.55367798,944.388005,20.74503155,2.15737,41.3987
Barcelona,Spain,Weekend,532.0362138,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,91,1,1.195572046,0.579879896,512.8453362,19.80155109,862.6719441,18.95000424,2.17717,41.39646
Barcelona,Spain,Weekend,601.6245025,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,92,1,1.618179778,0.594302919,461.3156423,17.81193005,934.6544692,20.53121847,2.16091,41.4
Barcelona,Spain,Weekend,830.8702027,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,98,2,1.068105415,0.783684051,555.1125286,21.43353623,1006.299333,22.10501542,2.17052,41.39675
Barcelona,Spain,Weekend,451.2765611,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,87,1,0.594723069,0.315837566,712.9354426,27.52726132,1570.871506,34.50676923,2.164,41.39
Barcelona,Spain,Weekend,188.5167687,Private room,FALSE,TRUE,2,FALSE,1,0,9,89,1,0.893607282,0.241492847,904.8098118,34.93575245,2068.891775,45.44660131,2.17594,41.38044
Barcelona,Spain,Weekend,208.5321293,Private room,FALSE,TRUE,2,FALSE,0,0,9,92,1,2.014648488,1.203761029,348.5748791,13.4588789,1027.637542,22.57374418,2.18995,41.37695
Barcelona,Spain,Weekend,190.8441362,Private room,FALSE,TRUE,2,FALSE,1,0,9,93,1,1.341888636,0.4021307,443.9751509,17.14239364,791.9666429,17.39684632,2.18211,41.39508
Barcelona,Spain,Weekend,246.4682198,Private room,FALSE,TRUE,3,TRUE,1,0,10,97,1,0.650221147,0.29431982,565.4134999,21.83126863,1124.670235,24.70522644,2.17636,41.39052
Barcelona,Spain,Weekend,237.3914865,Private room,FALSE,TRUE,2,FALSE,0,0,9,95,1,0.827518108,0.133967842,1372.626687,52.99870262,1979.702907,43.48742152,2.17441,41.38046
Barcelona,Spain,Weekend,143.3658389,Private room,FALSE,TRUE,2,FALSE,1,0,10,88,1,1.00624155,0.387398183,616.5560662,23.80594222,1281.403118,28.14812128,2.17135,41.37813
Barcelona,Spain,Weekend,135.4527893,Private room,FALSE,TRUE,2,TRUE,1,0,10,95,1,2.00315391,0.208508697,821.5473178,31.72089134,704.5587935,15.47678954,2.17212,41.40511
Barcelona,Spain,Weekend,229.2457002,Private room,FALSE,TRUE,2,FALSE,1,0,9,92,1,0.74764536,0.428540445,483.3989571,18.66459236,1176.364151,25.84076809,2.1647,41.38172
Barcelona,Spain,Weekend,416.5987851,Private room,FALSE,TRUE,5,TRUE,0,0,10,96,2,1.288906472,0.155559531,566.4921717,21.8729174,1228.536275,26.98681437,2.17738,41.37694
Barcelona,Spain,Weekend,156.1663602,Private room,FALSE,TRUE,2,FALSE,1,0,10,92,1,1.427133399,0.164535999,359.2590695,13.87140784,869.5247023,19.10053631,2.1561,41.37969
Barcelona,Spain,Weekend,156.1663602,Private room,FALSE,TRUE,2,FALSE,1,0,10,95,1,1.467998631,0.131163169,357.1640076,13.79051508,862.2116992,18.9398942,2.15595,41.37922
Barcelona,Spain,Weekend,134.2891056,Private room,FALSE,TRUE,2,FALSE,1,0,7,85,1,1.840697934,0.526932562,514.5409152,19.86701935,663.2332036,14.56900518,2.18117,41.40143
Barcelona,Spain,Weekend,173.6216166,Private room,FALSE,TRUE,2,FALSE,0,0,9,86,1,0.75370222,0.053179523,2064.852704,79.72634911,1882.476732,41.35168911,2.17354,41.38089
Barcelona,Spain,Weekend,196.8952917,Private room,FALSE,TRUE,2,FALSE,0,0,9,94,1,1.856144624,0.881943214,448.1948494,17.30532108,771.4336553,16.94580557,2.163,41.403
Barcelona,Spain,Weekend,178.2763516,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,1.90092512,0.311765833,345.3397305,13.33396608,796.9028942,17.50527918,2.15171,41.37698
Barcelona,Spain,Weekend,195.4988712,Private room,FALSE,TRUE,2,TRUE,1,0,9,94,1,1.228685583,0.450253319,585.1681092,22.59401693,1418.287845,31.15501885,2.1817,41.38043
